,gender,district,sum(aadhaar_generated)
0,F,Ahmadnagar,45.0
1,F,Ahmed Nagar,0.0
2,F,Ahmedabad,1.0
3,F,Ajmer,27.0
4,F,Akola,5.0
5,F,Alirajpur,71.0
6,F,Allahabad,15.0
7,F,Alwar,14.0
8,F,Ambala,7.0
9,F,Amravati,0.0
10,F,Amritsar,30.0
11,F,Anuppur,101.0
12,F,Ashok Nagar,1.0
13,F,Aurangabad,19.0
14,F,Balaghat,287.0
15,F,Bangalore,433.0
16,F,Bangalore Rural,9.0
17,F,Banka,0.0
18,F,Banswara,28.0
19,F,Baran,5.0
20,F,Barwani,34.0
21,F,Bathinda,43.0
22,F,Beed,25.0
23,F,Belgaum,59.0
24,F,Bellary,65.0
25,F,Betul,41.0
26,F,Bhagalpur,0.0
27,F,Bhandara,4.0
28,F,Bharatpur,94.0
29,F,Bhilwara,50.0
30,F,Bhind,91.0
31,F,Bhiwani,54.0
32,F,Bhopal,15.0
33,F,Bidar,30.0
34,F,Bijapur,1.0
35,F,Bikaner,5.0
36,F,Bokaro,12.0
37,F,Buldhana,95.0
38,F,Bundi,2.0
39,F,Burhanpur,29.0
40,F,Central Delhi,5.0
41,F,Chamrajanagar,6.0
42,F,Chandigarh,1.0
43,F,Chatra,114.0
44,F,Chennai,2.0
45,F,Chhatarpur,153.0
46,F,Chhindwara,126.0
47,F,Chickmagalur,1.0
48,F,Chikkaballapur,1.0
49,F,Chitradurga,68.0
50,F,Chittorgarh,5.0
51,F,Cuddalore,2.0
52,F,Dakshina Kannada,2.0
53,F,Damoh,280.0
54,F,Datia,18.0
55,F,Dausa,3.0
56,F,Deoghar,31.0
57,F,Dewas,14.0
58,F,Dhalai,20.0
59,F,Dhanbad,37.0
60,F,Dhar,316.0
61,F,Dharwad,1.0
62,F,Dholpur,9.0
63,F,Dhule,41.0
64,F,Dindori,22.0
65,F,Dumka,23.0
66,F,Dungarpur,6.0
67,F,East Godavari,1.0
68,F,East Singhbhum,45.0
69,F,Ernakulam,1.0
70,F,Faridabad,4.0
