,Unnamed: 0,UNIT,DATEn,TIMEn,DESCn,ENTRIESn_hourly,EXITSn_hourly,Hour
0,0,R022,2011-05-01,00:00:00,REGULAR,0.0,0.0,0
1,1,R022,2011-05-01,04:00:00,REGULAR,562.0,173.0,4
2,2,R022,2011-05-01,08:00:00,REGULAR,160.0,194.0,8
3,3,R022,2011-05-01,12:00:00,REGULAR,820.0,1025.0,12
4,4,R022,2011-05-01,16:00:00,REGULAR,2385.0,1954.0,16
5,5,R022,2011-05-01,20:00:00,REGULAR,3631.0,2010.0,20
6,6,R022,2011-05-02,00:00:00,REGULAR,1788.0,733.0,0
7,7,R022,2011-05-02,04:00:00,REGULAR,246.0,70.0,4
8,8,R022,2011-05-02,08:00:00,REGULAR,236.0,767.0,8
9,9,R022,2011-05-02,12:00:00,REGULAR,1611.0,3681.0,12
10,10,R022,2011-05-02,16:00:00,REGULAR,3675.0,2337.0,16
11,11,R022,2011-05-02,20:00:00,REGULAR,7598.0,2500.0,20
12,12,R022,2011-05-03,00:00:00,REGULAR,3395.0,717.0,0
13,13,R022,2011-05-03,04:00:00,REGULAR,309.0,52.0,4
14,14,R022,2011-05-03,08:00:00,REGULAR,250.0,779.0,8
15,15,R022,2011-05-03,12:00:00,REGULAR,138.0,1192.0,12
16,16,R022,2011-05-03,16:00:00,REGULAR,3919.0,3471.0,16
17,17,R022,2011-05-03,20:00:00,REGULAR,9651.0,4037.0,20
18,18,R022,2011-05-04,00:00:00,REGULAR,3687.0,789.0,0
19,19,R022,2011-05-04,04:00:00,REGULAR,285.0,66.0,4
20,20,R022,2011-05-04,08:00:00,REGULAR,266.0,738.0,8
21,21,R022,2011-05-04,12:00:00,REGULAR,1657.0,3411.0,12
22,22,R022,2011-05-04,16:00:00,REGULAR,3651.0,2943.0,16
23,23,R022,2011-05-04,20:00:00,REGULAR,7877.0,2706.0,20
24,24,R022,2011-05-05,00:00:00,REGULAR,3514.0,766.0,0
25,25,R022,2011-05-05,04:00:00,REGULAR,145.0,49.0,4
26,26,R022,2011-05-05,08:00:00,REGULAR,366.0,756.0,8
27,27,R022,2011-05-05,12:00:00,REGULAR,1913.0,3968.0,12
28,28,R022,2011-05-05,16:00:00,REGULAR,4269.0,2662.0,16
29,29,R022,2011-05-05,20:00:00,REGULAR,5846.0,2414.0,20
30,30,R022,2011-05-06,00:00:00,REGULAR,2912.0,796.0,0
31,31,R022,2011-05-06,04:00:00,REGULAR,4046.0,695.0,4
32,32,R022,2011-05-06,08:00:00,REGULAR,246.0,633.0,8
33,33,R022,2011-05-06,12:00:00,REGULAR,1615.0,3653.0,12
34,34,R022,2011-05-06,16:00:00,REGULAR,4360.0,2667.0,16
35,35,R022,2011-05-06,20:00:00,REGULAR,8221.0,2738.0,20
36,36,R023,2011-05-01,00:00:00,REGULAR,0.0,0.0,0
37,37,R023,2011-05-01,04:00:00,REGULAR,1094.0,408.0,4
38,38,R023,2011-05-01,08:00:00,REGULAR,445.0,654.0,8
39,39,R023,2011-05-01,12:00:00,REGULAR,1580.0,3013.0,12
40,40,R023,2011-05-01,16:00:00,REGULAR,2457.0,3270.0,16
41,41,R023,2011-05-01,20:00:00,REGULAR,3743.0,2838.0,20
42,42,R023,2011-05-02,00:00:00,REGULAR,2620.0,1191.0,0
43,43,R023,2011-05-02,04:00:00,REGULAR,400.0,124.0,4
44,44,R023,2011-05-02,08:00:00,REGULAR,1748.0,2408.0,8
45,45,R023,2011-05-02,08:06:37,REGULAR,115.0,210.0,8
46,46,R023,2011-05-02,12:00:00,REGULAR,4885.0,9513.0,12
47,47,R023,2011-05-02,16:00:00,REGULAR,4190.0,4505.0,16
48,48,R023,2011-05-02,20:00:00,REGULAR,10874.0,6858.0,20
49,49,R023,2011-05-03,00:00:00,REGULAR,3767.0,1622.0,0
50,50,R023,2011-05-03,04:00:00,REGULAR,546.0,142.0,4
51,51,R023,2011-05-03,08:00:00,REGULAR,1073.0,1891.0,8
52,52,R023,2011-05-03,12:00:00,REGULAR,5931.0,10779.0,12
53,53,R023,2011-05-03,16:00:00,REGULAR,4449.0,4794.0,16
54,54,R023,2011-05-03,20:00:00,REGULAR,11217.0,7131.0,20
55,55,R023,2011-05-04,00:00:00,REGULAR,4322.0,1828.0,0
56,56,R023,2011-05-04,04:00:00,REGULAR,623.0,167.0,4
57,57,R023,2011-05-04,08:00:00,REGULAR,1832.0,2519.0,8
58,58,R023,2011-05-04,12:00:00,REGULAR,4817.0,5304.0,12
59,59,R023,2011-05-04,16:00:00,REGULAR,4599.0,8346.0,16
60,60,R023,2011-05-04,20:00:00,REGULAR,10744.0,6934.0,20
61,61,R023,2011-05-05,00:00:00,REGULAR,4838.0,2879.0,0
62,62,R023,2011-05-05,04:00:00,REGULAR,651.0,154.0,4
63,63,R023,2011-05-05,08:00:00,REGULAR,1729.0,2612.0,8
64,64,R023,2011-05-05,12:00:00,REGULAR,3669.0,9434.0,12
65,65,R023,2011-05-05,16:00:00,REGULAR,4030.0,4136.0,16
66,66,R023,2011-05-05,20:00:00,REGULAR,8273.0,5438.0,20
67,67,R023,2011-05-06,00:00:00,REGULAR,9762.0,5821.0,0
68,68,R023,2011-05-06,04:00:00,REGULAR,872.0,266.0,4
69,69,R023,2011-05-06,08:00:00,REGULAR,942.0,2307.0,8
70,70,R023,2011-05-06,12:00:00,REGULAR,5591.0,10010.0,12
71,71,R023,2011-05-06,14:58:43,REGULAR,3330.0,3802.0,14
72,72,R023,2011-05-06,16:00:00,REGULAR,1641.0,1701.0,16
73,73,R023,2011-05-06,20:00:00,REGULAR,10890.0,7559.0,20
74,74,R032,2011-05-01,00:00:00,REGULAR,0.0,0.0,0
75,75,R032,2011-05-01,04:00:00,REGULAR,163.0,262.0,4
76,76,R032,2011-05-01,08:00:00,REGULAR,65.0,237.0,8
77,77,R032,2011-05-01,12:00:00,REGULAR,257.0,1292.0,12
78,78,R032,2011-05-01,16:00:00,REGULAR,529.0,2237.0,16
79,79,R032,2011-05-01,20:00:00,REGULAR,786.0,2086.0,20
80,80,R032,2011-05-02,00:00:00,REGULAR,440.0,1002.0,0
81,81,R032,2011-05-02,04:00:00,REGULAR,56.0,122.0,4
82,82,R032,2011-05-02,08:00:00,REGULAR,541.0,1064.0,8
83,83,R032,2011-05-02,12:00:00,REGULAR,220.0,2413.0,12
84,84,R032,2011-05-02,16:00:00,REGULAR,2415.0,5379.0,16
85,85,R032,2011-05-02,20:00:00,REGULAR,5311.0,4117.0,20
86,86,R032,2011-05-03,00:00:00,REGULAR,3085.0,3098.0,0
87,87,R032,2011-05-03,04:00:00,REGULAR,118.0,111.0,4
88,88,R032,2011-05-03,08:00:00,REGULAR,186.0,692.0,8
89,89,R032,2011-05-03,12:00:00,REGULAR,2009.0,7785.0,12
90,90,R032,2011-05-03,16:00:00,REGULAR,1984.0,3206.0,16
91,91,R032,2011-05-03,20:00:00,REGULAR,6455.0,4036.0,20
92,92,R032,2011-05-04,00:00:00,REGULAR,1190.0,1011.0,0
93,93,R032,2011-05-04,04:00:00,REGULAR,104.0,86.0,4
94,94,R032,2011-05-04,08:00:00,REGULAR,575.0,1090.0,8
95,95,R032,2011-05-04,12:00:00,REGULAR,1488.0,7609.0,12
96,96,R032,2011-05-04,16:00:00,REGULAR,2000.0,3187.0,16
97,97,R032,2011-05-04,20:00:00,REGULAR,6799.0,3653.0,20
98,98,R032,2011-05-05,00:00:00,REGULAR,1199.0,888.0,0
99,99,R032,2011-05-05,04:00:00,REGULAR,116.0,75.0,4
100,100,R032,2011-05-05,08:00:00,REGULAR,589.0,1053.0,8
101,101,R032,2011-05-05,12:00:00,REGULAR,1781.0,7683.0,12
102,102,R032,2011-05-05,16:00:00,REGULAR,2057.0,3351.0,16
103,103,R032,2011-05-05,20:00:00,REGULAR,6453.0,4131.0,20
104,104,R032,2011-05-06,00:00:00,REGULAR,1261.0,1133.0,0
105,105,R032,2011-05-06,04:00:00,REGULAR,155.0,161.0,4
106,106,R032,2011-05-06,11:40:41,REGULAR,1994.0,7905.0,11
107,107,R032,2011-05-06,11:43:35,REGULAR,25.0,31.0,11
108,108,R032,2011-05-06,12:00:00,REGULAR,114.0,234.0,12
109,109,R032,2011-05-06,16:00:00,REGULAR,2279.0,3464.0,16
110,110,R032,2011-05-06,20:00:00,REGULAR,5787.0,4209.0,20
111,111,R051,2011-05-01,00:00:00,REGULAR,0.0,0.0,0
112,112,R051,2011-05-01,04:00:00,REGULAR,344.0,208.0,4
